repo.url,repo.language,repo.license,repo.star_count,repo.created_at,repo.updated_at,legacy.created_since,legacy.updated_since,legacy.contributor_count,legacy.org_count,legacy.commit_frequency,legacy.recent_release_count,legacy.updated_issues_count,legacy.closed_issues_count,legacy.issue_comment_frequency,legacy.github_mention_count,depsdev.dependent_count,original_pike_score
https://github.com/torvalds/linux,C,Other,133178,2011-09-04T22:45:10Z,2022-06-15T16:04:55Z,131,0,5000,10,1555.33,69,552,266,3.18,57193965,,0.92520
https://github.com/git/git,C,Other,42452,2005-04-07T22:13:13Z,2022-06-16T17:18:58Z,209,0,2044,5,70.83,49,896,806,13.15,36120246,,0.89559
https://github.com/nodejs/node,JavaScript,Other,88225,2009-02-16T00:02:00Z,2022-06-14T19:30:51Z,162,0,3472,9,48.37,67,36122,34479,2,1168604,17,0.88907
https://github.com/kubernetes/kubernetes,Go,Apache License 2.0,89322,2014-06-06T22:56:04Z,2022-06-15T20:19:10Z,97,0,4367,5,138.08,65,86352,84020,2,529999,5408,0.88400
https://github.com/symfony/symfony,PHP,MIT License,26995,2010-01-04T14:21:21Z,2022-06-16T15:27:02Z,151,0,3579,13,104.13,69,27449,26723,2,88134,,0.87876
https://github.com/php/php-src,C,Other,33923,1999-04-07T18:10:10Z,2022-06-15T15:55:14Z,282,0,1340,8,78.92,51,7121,6712,3.71,294134,,0.87804
https://github.com/NixOS/nixpkgs,Nix,MIT License,9785,2003-03-14T16:43:14Z,2022-06-14T22:03:59Z,234,0,5000,7,1710.52,5,161955,153134,2,54661,,0.87599
https://github.com/rails/rails,Ruby,MIT License,50911,2004-11-24T01:04:44Z,2022-06-16T21:54:01Z,213,0,5000,7,63.48,35,21279,20682,2,133157,150,0.87284
https://github.com/intel/gvt-linux,C,Other,416,2016-09-27T17:00:52Z,2022-06-02T16:08:27Z,69,0,5000,10,1334.5,125,212,147,7.45,8586,,0.87088
https://github.com/pytorch/pytorch,C++,Other,56606,2012-01-25T13:55:20Z,2022-06-13T01:56:46Z,126,0,3315,5,187.35,6,79245,69147,2,844239,13,0.86670
https://github.com/tensorflow/tensorflow,C++,Apache License 2.0,165728,2015-11-07T00:27:58Z,2022-06-15T16:05:08Z,80,0,4017,4,349.94,31,53770,51426,2,147219,1094,0.86612
https://github.com/raspberrypi/linux,C,Other,9069,2012-01-17T12:00:41Z,2022-06-13T12:47:22Z,126,0,5000,10,556.75,8,3857,3173,2,16869,,0.86538
https://github.com/multipath-tcp/mptcp_net-next,C,Other,127,2014-11-07T16:56:05Z,2022-06-14T05:57:26Z,92,0,5000,10,1562.08,240,282,244,2.95,16702,,0.86447
https://github.com/apache/spark,Scala,Apache License 2.0,33144,2010-03-29T23:17:55Z,2022-06-16T09:07:43Z,148,0,2680,6,57.98,14,23544,23343,2,485661,271,0.86266
https://github.com/MicrosoftDocs/azure-docs,PowerShell,Creative Commons Attribution 4.0 International,7187,2012-02-24T18:11:29Z,2022-06-12T22:56:04Z,125,0,5000,10,3064.67,0,93898,88827,2,38168,,0.85754
https://github.com/gatsbyjs/gatsby,JavaScript,MIT License,53061,2015-05-21T22:43:05Z,2022-06-13T09:07:13Z,85,0,4226,5,33.73,24,33572,33227,2,402256,29960,0.85728
https://github.com/linux-audit/audit-kernel,C,Other,109,2016-02-24T17:04:21Z,2019-09-17T19:00:30Z,76,33,5000,10,1286.19,413,134,96,6.13,8303,,0.85522
https://github.com/ansible/ansible,Python,GNU General Public License v3.0,53459,2012-02-23T19:17:24Z,2022-06-14T15:19:23Z,125,0,5000,8,20.54,43,77800,76688,2,80796,399,0.85515
https://github.com/ceph/ceph,C++,Other,10627,2001-04-29T10:23:23Z,2022-06-16T22:17:53Z,257,0,1637,4,148.67,17,37986,37059,2,463831,,0.85308
https://github.com/gentoo/gentoo,Shell,,1649,2015-08-09T00:38:18Z,2022-06-16T07:41:47Z,83,0,5000,6,2330.71,0,24157,23720,2,157893,,0.85295
https://github.com/laravel/framework,PHP,MIT License,27175,2013-01-10T21:27:28Z,2022-06-13T18:42:56Z,114,0,3578,7,44.58,114,27556,27525,2,77915,,0.85179
https://github.com/rust-lang/rust,Rust,Other,67643,2010-06-16T20:39:03Z,2022-06-16T11:13:30Z,146,0,4848,2,381.71,11,66880,58198,2,181978,639,0.85056
https://github.com/facebook/react-native,JavaScript,MIT License,103286,2015-01-09T18:10:16Z,2022-06-14T10:47:36Z,90,0,3173,5,40.48,43,30451,28201,2,256030,6904,0.84900
https://github.com/llvm/llvm-project,,,14292,2001-06-06T20:29:01Z,2022-03-28T21:12:23Z,255,2,3815,4,663.83,22,55305,37145,0.72,50488,,0.84446
