Name,Maintained,CodeReview,Criticality
github.com/Kitware/CMake,10,0,540
github.com/vimeo/psalm,10,2,419
github.com/telegramdesktop/tdesktop,10,0,296
github.com/PHPMailer/PHPMailer,10,0,721
github.com/google/syzkaller,10,10,832
github.com/materialsproject/pymatgen,10,0,437
github.com/GStreamer/gstreamer,10,0,605
github.com/pandas-dev/pandas,10,10,259
github.com/IQSS/dataverse,10,8,859
github.com/prometheus-community/helm-charts,10,9,857
github.com/lodash/lodash,0,1,354
github.com/apache/cloudstack,10,9,484
github.com/catapult-project/catapult,0,10,565
github.com/acpica/acpica,10,1,866
github.com/projectcalico/calico,10,9,403
github.com/kubernetes/test-infra,10,7,376
github.com/google/cadvisor,10,5,770
github.com/Sylius/Sylius,10,7,391
github.com/sonyxperiadev/kernel,10,0,843
github.com/tasks/tasks,10,0,397
github.com/angular/material,0,8,665
github.com/keras-team/keras,10,10,348
github.com/wazuh/wazuh,10,6,731
github.com/elastic/beats,10,10,447
github.com/mlpack/mlpack,10,10,741
github.com/apache/libcloud,10,6,794
github.com/apache/calcite,10,1,574
github.com/vector-im/element-web,10,5,365
github.com/spf13/cobra,10,10,790
github.com/racket/racket,10,0,788
github.com/pyenv/pyenv,10,0,782
github.com/containers/image,10,5,743
github.com/balderdashy/sails,10,2,791
github.com/laravel/docs,10,0,777
github.com/node-red/node-red,10,0,787
github.com/pallets/werkzeug,10,0,786
github.com/taskcluster/taskcluster,10,9,799
github.com/apache/hbase,10,9,822
github.com/spesmilo/electrum,10,0,328
github.com/FRRouting/frr,10,6,530
github.com/containers/podman,10,10,838
github.com/RobotLocomotion/drake,10,0,490
github.com/rvm/rvm,8,8,778
github.com/npm/npm,0,3,350
github.com/freqtrade/freqtrade,10,5,906
github.com/facebook/watchman,10,1,369
github.com/iovisor/bcc,10,1,241
github.com/tgstation/tgstation,10,0,297
github.com/flutter/flutter,10,10,90
github.com/pgjdbc/pgjdbc,10,1,623
github.com/psi4/psi4,10,10,698
github.com/tianocore/edk2,10,0,840
github.com/hashicorp/vault,10,10,343
github.com/akka/akka,10,9,611
github.com/void-linux/void-packages,10,0,431
github.com/ballerina-platform/ballerina-lang,10,10,103
github.com/firebase/firebase-js-sdk,10,8,833
github.com/arangodb/arangodb,10,8,436
github.com/Jackett/Jackett,10,0,897
github.com/rmosolgo/graphql-ruby,10,0,537
github.com/ImageMagick/ImageMagick,10,0,479
github.com/elixir-ecto/ecto,10,5,528
